*
* No part of this file can be released without the consent of SMIC.
*
*This file contains the interconnect capacitance of parallel lines above a bottom plate.
*Three corners are provided : Typical, Fast and Slow.

***********************************************************************
*****             Interconnect Capacitance Table           ************
***********************************************************************

Process: 	65nm 1P10M Logic Low Leakage Salicide, Triple Voltage (1.2V/1.8/2.5V)
Version: 	1.0
Date: 		2009-06-15
Corner:  	Typical
Structure: 	Structure-1 (Parallel lines between two plates)
(Please refer to SMIC SPICE document for the definition of each capacitance)


************************
* Layers:	MT1-M5 *
************************
Width	Spacing	Ctotal 		Cbottom		  Ca   		 Ccoup 		  Cf   
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
------	-------	--------	--------	--------	--------	--------
0.420	1.200	1.37E-01	5.52E-02	1.62E-02	3.78E-02	1.95E-02
0.420	1.600	1.25E-01	6.38E-02	1.62E-02	2.81E-02	2.38E-02
0.420	2.000	1.18E-01	7.10E-02	1.62E-02	2.16E-02	2.74E-02
0.420	2.400	1.14E-01	7.69E-02	1.62E-02	1.71E-02	3.04E-02
0.420	2.800	1.12E-01	8.17E-02	1.62E-02	1.37E-02	3.28E-02
0.500	0.400	2.52E-01	3.60E-02	1.92E-02	1.03E-01	8.40E-03
0.500	0.500	2.19E-01	3.92E-02	1.92E-02	8.49E-02	1.00E-02
0.500	0.800	1.68E-01	4.81E-02	1.92E-02	5.64E-02	1.44E-02
0.500	1.200	1.41E-01	5.83E-02	1.92E-02	3.86E-02	1.95E-02
0.500	1.600	1.29E-01	6.69E-02	1.92E-02	2.86E-02	2.39E-02
0.500	2.000	1.22E-01	7.42E-02	1.92E-02	2.21E-02	2.75E-02
0.500	2.400	1.18E-01	8.01E-02	1.92E-02	1.74E-02	3.04E-02
0.500	2.800	1.16E-01	8.52E-02	1.92E-02	1.39E-02	3.30E-02
0.600	0.400	2.58E-01	3.97E-02	2.31E-02	1.04E-01	8.33E-03
0.600	0.500	2.25E-01	4.29E-02	2.31E-02	8.65E-02	9.92E-03
0.600	0.800	1.74E-01	5.18E-02	2.31E-02	5.75E-02	1.44E-02
0.600	1.200	1.46E-01	6.21E-02	2.31E-02	3.94E-02	1.95E-02
0.600	1.600	1.34E-01	7.07E-02	2.31E-02	2.92E-02	2.38E-02
0.600	2.000	1.27E-01	7.80E-02	2.31E-02	2.25E-02	2.75E-02
0.600	2.400	1.23E-01	8.41E-02	2.31E-02	1.78E-02	3.05E-02
0.600	2.800	1.20E-01	8.92E-02	2.31E-02	1.43E-02	3.31E-02
0.840	0.400	2.72E-01	4.87E-02	3.23E-02	1.08E-01	8.20E-03
0.840	0.500	2.38E-01	5.20E-02	3.23E-02	8.95E-02	9.84E-03
0.840	0.800	1.86E-01	6.09E-02	3.23E-02	5.98E-02	1.43E-02
0.840	1.200	1.58E-01	7.13E-02	3.23E-02	4.10E-02	1.95E-02
0.840	1.600	1.45E-01	8.01E-02	3.23E-02	3.05E-02	2.39E-02
0.840	2.000	1.38E-01	8.74E-02	3.23E-02	2.35E-02	2.76E-02
0.840	2.400	1.34E-01	9.35E-02	3.23E-02	1.86E-02	3.06E-02
0.840	2.800	1.31E-01	9.88E-02	3.23E-02	1.49E-02	3.32E-02
1.260	0.400	2.94E-01	6.47E-02	4.85E-02	1.11E-01	8.14E-03
1.260	0.500	2.59E-01	6.79E-02	4.85E-02	9.28E-02	9.72E-03
1.260	0.800	2.06E-01	7.69E-02	4.85E-02	6.23E-02	1.42E-02
1.260	1.200	1.77E-01	8.73E-02	4.85E-02	4.29E-02	1.94E-02
1.260	1.600	1.63E-01	9.61E-02	4.85E-02	3.19E-02	2.38E-02
1.260	2.000	1.56E-01	1.04E-01	4.85E-02	2.46E-02	2.75E-02
1.260	2.400	1.51E-01	1.10E-01	4.85E-02	1.95E-02	3.07E-02
1.260	2.800	1.49E-01	1.15E-01	4.85E-02	1.57E-02	3.34E-02
1.680	0.400	3.13E-01	8.06E-02	6.46E-02	1.14E-01	7.98E-03
1.680	0.500	2.78E-01	8.39E-02	6.46E-02	9.49E-02	9.63E-03
1.680	0.800	2.25E-01	9.30E-02	6.46E-02	6.39E-02	1.42E-02
1.680	1.200	1.95E-01	1.03E-01	6.46E-02	4.40E-02	1.94E-02
1.680	1.600	1.81E-01	1.12E-01	6.46E-02	3.28E-02	2.38E-02
1.680	2.000	1.73E-01	1.20E-01	6.46E-02	2.54E-02	2.76E-02
1.680	2.400	1.69E-01	1.26E-01	6.46E-02	2.02E-02	3.08E-02
1.680	2.800	1.66E-01	1.31E-01	6.46E-02	1.62E-02	3.34E-02
2.100	0.400	3.31E-01	9.67E-02	8.08E-02	1.15E-01	7.94E-03
2.100	0.500	2.96E-01	1.00E-01	8.08E-02	9.62E-02	9.59E-03
2.100	0.800	2.43E-01	1.09E-01	8.08E-02	6.50E-02	1.41E-02
2.100	1.200	2.12E-01	1.19E-01	8.08E-02	4.49E-02	1.93E-02
2.100	1.600	1.98E-01	1.28E-01	8.08E-02	3.35E-02	2.38E-02
2.100	2.000	1.91E-01	1.36E-01	8.08E-02	2.60E-02	2.76E-02
2.100	2.400	1.86E-01	1.42E-01	8.08E-02	2.07E-02	3.08E-02
2.100	2.800	1.83E-01	1.48E-01	8.08E-02	1.67E-02	3.35E-02
2.560	0.400	3.50E-01	1.14E-01	9.85E-02	1.16E-01	7.95E-03
2.560	0.500	3.16E-01	1.18E-01	9.85E-02	9.73E-02	9.58E-03
2.560	0.800	2.62E-01	1.27E-01	9.85E-02	6.58E-02	1.41E-02
2.560	1.200	2.31E-01	1.37E-01	9.85E-02	4.56E-02	1.94E-02
2.560	1.600	2.17E-01	1.46E-01	9.85E-02	3.41E-02	2.38E-02
2.560	2.000	2.09E-01	1.54E-01	9.85E-02	2.65E-02	2.76E-02
2.560	2.400	2.05E-01	1.60E-01	9.85E-02	2.11E-02	3.08E-02
2.560	2.800	2.02E-01	1.66E-01	9.85E-02	1.71E-02	3.35E-02
------	-------	--------	--------	--------	--------	--------

***********************************************************************
*****             Interconnect Capacitance Table           ************
***********************************************************************

Process: 	65nm 1P10M Logic Low Leakage Salicide, Triple Voltage (1.2V/1.8/2.5V)
Version: 	1.0
Date: 		2009-06-15
Corner:  	Slow
Structure: 	Structure-1 (Parallel lines between two plates)
(Please refer to SMIC SPICE document for the definition of each capacitance)


************************
* Layers:	MT1-M5 *
************************
Width	Spacing	Ctotal 		Cbottom		  Ca   		 Ccoup 		  Cf   
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
------	-------	--------	--------	--------	--------	--------
0.420	0.400	2.81E-01	4.73E-02	2.42E-02	1.12E-01	1.16E-02
0.420	0.500	2.43E-01	5.18E-02	2.42E-02	9.13E-02	1.38E-02
0.420	0.800	1.88E-01	6.34E-02	2.42E-02	5.87E-02	1.96E-02
0.420	1.200	1.59E-01	7.63E-02	2.42E-02	3.89E-02	2.60E-02
0.420	1.600	1.47E-01	8.65E-02	2.42E-02	2.80E-02	3.12E-02
0.420	2.000	1.40E-01	9.44E-02	2.42E-02	2.12E-02	3.51E-02
0.420	2.400	1.37E-01	1.01E-01	2.42E-02	1.64E-02	3.85E-02
0.420	2.800	1.35E-01	1.06E-01	2.42E-02	1.29E-02	4.11E-02
0.500	0.400	2.87E-01	5.18E-02	2.88E-02	1.13E-01	1.15E-02
0.500	0.500	2.50E-01	5.64E-02	2.88E-02	9.26E-02	1.38E-02
0.500	0.800	1.94E-01	6.80E-02	2.88E-02	5.97E-02	1.96E-02
0.500	1.200	1.65E-01	8.08E-02	2.88E-02	3.95E-02	2.60E-02
0.500	1.600	1.52E-01	9.10E-02	2.88E-02	2.86E-02	3.11E-02
0.500	2.000	1.46E-01	9.92E-02	2.88E-02	2.15E-02	3.52E-02
0.500	2.400	1.42E-01	1.06E-01	2.88E-02	1.67E-02	3.86E-02
0.500	2.800	1.40E-01	1.11E-01	2.88E-02	1.31E-02	4.12E-02
0.600	0.400	2.95E-01	5.74E-02	3.45E-02	1.15E-01	1.14E-02
0.600	0.500	2.58E-01	6.19E-02	3.45E-02	9.40E-02	1.37E-02
0.600	0.800	2.01E-01	7.36E-02	3.45E-02	6.07E-02	1.96E-02
0.600	1.200	1.72E-01	8.65E-02	3.45E-02	4.02E-02	2.60E-02
0.600	1.600	1.59E-01	9.68E-02	3.45E-02	2.91E-02	3.11E-02
0.600	2.000	1.52E-01	1.05E-01	3.45E-02	2.19E-02	3.52E-02
0.600	2.400	1.48E-01	1.12E-01	3.45E-02	1.70E-02	3.86E-02
0.600	2.800	1.46E-01	1.17E-01	3.45E-02	1.34E-02	4.13E-02
0.840	0.400	3.13E-01	7.10E-02	4.83E-02	1.18E-01	1.13E-02
0.840	0.500	2.75E-01	7.55E-02	4.83E-02	9.66E-02	1.36E-02
0.840	0.800	2.18E-01	8.73E-02	4.83E-02	6.26E-02	1.95E-02
0.840	1.200	1.88E-01	1.00E-01	4.83E-02	4.16E-02	2.60E-02
