*
* No part of this file can be released without the consent of SMIC.
*
*This file contains the interconnect capacitance of parallel lines above a bottom plate.
*Three corners are provided : Typical, Fast and Slow.
***********************************************************
*****  SMIC Interconnect Capacitance Table     ************
***********************************************************

Process: 	65nm Mixed Signal Low Leakage 1P10M(1P9M, 1P8M, 1P7M, 1P6M) Salicide, Triple Voltage (1.2V/1.8/2.5V)
Version: 	1.0
Date: 		2009-09-31
Corner:  	Typical
Structure: 	Structure-1 (Parallel lines above a bottom plate)
(Please refer to SMIC SPICE document for the definition of each capacitance)


***********************
* Layers:	M1-AA *
***********************
Width	Spacing	Ctotal 		Cbottom		  Ca   		 Ccoup 		  Cf   
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
------	-------	--------	--------	--------	--------	--------
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
------	-------	--------	--------	--------	--------	--------
0.100	0.080	2.42E-01	1.65E-02	4.61E-03	1.13E-01	5.94E-03
0.100	0.100	2.07E-01	1.76E-02	4.61E-03	9.45E-02	6.50E-03
0.100	0.120	1.82E-01	1.87E-02	4.61E-03	8.18E-02	7.05E-03
0.100	0.130	1.73E-01	1.92E-02	4.61E-03	7.68E-02	7.31E-03
0.100	0.150	1.58E-01	2.02E-02	4.61E-03	6.86E-02	7.81E-03
0.100	0.180	1.41E-01	2.17E-02	4.61E-03	5.95E-02	8.55E-03
0.100	0.200	1.32E-01	2.27E-02	4.61E-03	5.48E-02	9.02E-03
0.100	0.250	1.17E-01	2.49E-02	4.61E-03	4.59E-02	1.02E-02
0.100	0.300	1.06E-01	2.70E-02	4.61E-03	3.96E-02	1.12E-02
0.100	0.400	9.33E-02	3.08E-02	4.61E-03	3.13E-02	1.31E-02
0.100	0.500	8.56E-02	3.42E-02	4.61E-03	2.57E-02	1.48E-02
0.100	0.600	8.07E-02	3.72E-02	4.61E-03	2.18E-02	1.63E-02
0.100	0.800	7.50E-02	4.23E-02	4.61E-03	1.64E-02	1.88E-02
0.100	1.000	7.19E-02	4.64E-02	4.61E-03	1.28E-02	2.09E-02
0.100	1.200	7.03E-02	4.97E-02	4.61E-03	1.03E-02	2.25E-02
0.100	1.400	6.92E-02	5.23E-02	4.61E-03	8.42E-03	2.39E-02
0.100	1.600	6.85E-02	5.45E-02	4.61E-03	7.02E-03	2.49E-02
0.100	1.800	6.81E-02	5.62E-02	4.61E-03	5.96E-03	2.58E-02
0.100	2.000	6.78E-02	5.76E-02	4.61E-03	5.10E-03	2.65E-02
0.100	2.500	6.74E-02	6.01E-02	4.61E-03	3.62E-03	2.78E-02
0.100	3.000	6.72E-02	6.18E-02	4.61E-03	2.73E-03	2.86E-02
0.100	4.000	6.71E-02	6.36E-02	4.61E-03	1.74E-03	2.95E-02
0.100	5.000	6.70E-02	6.45E-02	4.61E-03	1.26E-03	2.99E-02
0.100	7.000	6.70E-02	6.54E-02	4.61E-03	7.98E-04	3.04E-02
0.100	10.000	6.70E-02	6.59E-02	4.61E-03	5.20E-04	3.06E-02
------	-------	--------	--------	--------	--------	--------

***********************
* Layers:	M2-M1 *
***********************
Width	Spacing	Ctotal 		Cbottom		  Ca   		 Ccoup 		  Cf   
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
------	-------	--------	--------	--------	--------	--------
0.100	0.080	2.49E-01	3.69E-02	1.72E-02	1.06E-01	9.84E-03
0.100	0.100	2.15E-01	4.00E-02	1.72E-02	8.74E-02	1.14E-02
0.100	0.120	1.92E-01	4.32E-02	1.72E-02	7.42E-02	1.30E-02
0.100	0.130	1.83E-01	4.46E-02	1.72E-02	6.91E-02	1.37E-02
0.100	0.150	1.69E-01	4.74E-02	1.72E-02	6.06E-02	1.51E-02
0.100	0.180	1.54E-01	5.13E-02	1.72E-02	5.11E-02	1.71E-02
0.100	0.200	1.46E-01	5.38E-02	1.72E-02	4.62E-02	1.83E-02
0.100	0.250	1.33E-01	5.94E-02	1.72E-02	3.70E-02	2.11E-02
0.100	0.300	1.25E-01	6.42E-02	1.72E-02	3.05E-02	2.35E-02
0.100	0.400	1.16E-01	7.22E-02	1.72E-02	2.21E-02	2.75E-02
0.100	0.500	1.12E-01	7.82E-02	1.72E-02	1.69E-02	3.05E-02
0.100	0.600	1.10E-01	8.28E-02	1.72E-02	1.33E-02	3.28E-02
0.100	0.800	1.07E-01	8.94E-02	1.72E-02	8.93E-03	3.61E-02
0.100	1.000	1.06E-01	9.35E-02	1.72E-02	6.38E-03	3.81E-02
0.100	1.200	1.06E-01	9.62E-02	1.72E-02	4.78E-03	3.95E-02
0.100	1.400	1.06E-01	9.82E-02	1.72E-02	3.72E-03	4.05E-02
0.100	1.600	1.05E-01	9.95E-02	1.72E-02	2.98E-03	4.12E-02
0.100	1.800	1.05E-01	1.00E-01	1.72E-02	2.48E-03	4.16E-02
0.100	2.000	1.05E-01	1.01E-01	1.72E-02	2.07E-03	4.20E-02
0.100	2.500	1.05E-01	1.02E-01	1.72E-02	1.45E-03	4.26E-02
0.100	3.000	1.05E-01	1.03E-01	1.72E-02	1.11E-03	4.29E-02
0.100	4.000	1.05E-01	1.04E-01	1.72E-02	7.12E-04	4.33E-02
0.100	5.000	1.05E-01	1.04E-01	1.72E-02	5.46E-04	4.34E-02
0.100	7.000	1.05E-01	1.04E-01	1.72E-02	3.80E-04	4.36E-02
0.100	10.000	1.05E-01	1.05E-01	1.72E-02	2.78E-04	4.37E-02
------	-------	--------	--------	--------	--------	--------

***********************
* Layers:	M3-AA *
***********************
Width	Spacing	Ctotal 		Cbottom		  Ca   		 Ccoup 		  Cf   
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
------	-------	--------	--------	--------	--------	--------
0.100	0.080	2.41E-01	1.27E-02	2.62E-03	1.14E-01	5.05E-03
0.100	0.100	2.06E-01	1.35E-02	2.62E-03	9.61E-02	5.45E-03
0.100	0.120	1.81E-01	1.43E-02	2.62E-03	8.36E-02	5.83E-03
0.100	0.130	1.72E-01	1.46E-02	2.62E-03	7.86E-02	6.01E-03
0.100	0.150	1.56E-01	1.54E-02	2.62E-03	7.05E-02	6.41E-03
0.100	0.180	1.39E-01	1.65E-02	2.62E-03	6.15E-02	6.92E-03
0.100	0.200	1.31E-01	1.71E-02	2.62E-03	5.68E-02	7.24E-03
0.100	0.250	1.15E-01	1.86E-02	2.62E-03	4.81E-02	8.01E-03
0.100	0.300	1.04E-01	2.00E-02	2.62E-03	4.21E-02	8.67E-03
0.100	0.400	9.04E-02	2.25E-02	2.62E-03	3.39E-02	9.96E-03
0.100	0.500	8.20E-02	2.48E-02	2.62E-03	2.86E-02	1.11E-02
0.100	0.600	7.64E-02	2.68E-02	2.62E-03	2.48E-02	1.21E-02
0.100	0.800	6.95E-02	3.04E-02	2.62E-03	1.95E-02	1.39E-02
0.100	1.000	6.54E-02	3.35E-02	2.62E-03	1.60E-02	1.54E-02
0.100	1.200	6.30E-02	3.61E-02	2.62E-03	1.34E-02	1.68E-02
0.100	1.400	6.13E-02	3.85E-02	2.62E-03	1.14E-02	1.79E-02
0.100	1.600	6.01E-02	4.04E-02	2.62E-03	9.85E-03	1.89E-02
0.100	1.800	5.93E-02	4.22E-02	2.62E-03	8.59E-03	1.98E-02
0.100	2.000	5.87E-02	4.37E-02	2.62E-03	7.54E-03	2.05E-02
0.100	2.500	5.79E-02	4.65E-02	2.62E-03	5.67E-03	2.20E-02
0.100	3.000	5.74E-02	4.86E-02	2.62E-03	4.40E-03	2.30E-02
0.100	4.000	5.70E-02	5.12E-02	2.62E-03	2.92E-03	2.43E-02
0.100	5.000	5.69E-02	5.27E-02	2.62E-03	2.12E-03	2.50E-02
0.100	7.000	5.68E-02	5.42E-02	2.62E-03	1.33E-03	2.58E-02
0.100	10.000	5.68E-02	5.51E-02	2.62E-03	8.51E-04	2.62E-02
------	-------	--------	--------	--------	--------	--------

*********************************
* Layers:	M3-POLY (on AA) *
*********************************
Width	Spacing	Ctotal 		Cbottom		  Ca   		 Ccoup 		  Cf   
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
------	-------	--------	--------	--------	--------	--------
0.100	0.080	2.42E-01	1.31E-02	2.80E-03	1.14E-01	5.13E-03
0.100	0.100	2.06E-01	1.39E-02	2.80E-03	9.60E-02	5.54E-03
0.100	0.120	1.81E-01	1.47E-02	2.80E-03	8.33E-02	5.98E-03
0.100	0.130	1.72E-01	1.51E-02	2.80E-03	7.84E-02	6.17E-03
0.100	0.150	1.56E-01	1.59E-02	2.80E-03	7.03E-02	6.54E-03
0.100	0.180	1.39E-01	1.69E-02	2.80E-03	6.13E-02	7.06E-03
0.100	0.200	1.31E-01	1.76E-02	2.80E-03	5.66E-02	7.39E-03
0.100	0.250	1.15E-01	1.91E-02	2.80E-03	4.79E-02	8.17E-03
0.100	0.300	1.04E-01	2.06E-02	2.80E-03	4.18E-02	8.92E-03
0.100	0.400	9.05E-02	2.33E-02	2.80E-03	3.36E-02	1.02E-02
