*
* No part of this file can be released without the consent of SMIC.
*
*This file contains the interconnect capacitance of parallel lines above a bottom plate.
*Three corners are provided : Typical, Fast and Slow.
***********************************************************
*****  SMIC Interconnect Capacitance Table     ************
***********************************************************

Process: 	65nm Mixed Signal Low Leakage 1P10M(1P9M, 1P8M, 1P7M, 1P6M) Salicide, Triple Voltage (1.2V/1.8/2.5V)
Version: 	1.0
Date: 		2009-09-31
Corner:  	Typical
Structure: 	Structure-1 (Parallel lines above a bottom plate)
(Please refer to SMIC SPICE document for the definition of each capacitance)


***********************
* Layers:	M1-AA *
***********************
Width	Spacing	Ctotal 		Cbottom		  Ca   		 Ccoup 		  Cf   
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
------	-------	--------	--------	--------	--------	--------

***********************
* Layers:	M8-M6 *
***********************
Width	Spacing	Ctotal 		Cbottom		  Ca   		 Ccoup 		  Cf   
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
------	-------	--------	--------	--------	--------	--------
0.090	0.090	2.29E-01	1.41E-02	4.08E-03	9.86E-02	5.03E-03
0.090	0.110	2.01E-01	1.51E-02	4.08E-03	8.46E-02	5.49E-03
0.090	0.130	1.82E-01	1.60E-02	4.08E-03	7.46E-02	5.95E-03
0.090	0.150	1.67E-01	1.69E-02	4.08E-03	6.70E-02	6.39E-03
0.090	0.170	1.55E-01	1.77E-02	4.08E-03	6.10E-02	6.83E-03
0.090	0.190	1.46E-01	1.86E-02	4.08E-03	5.62E-02	7.25E-03
0.090	0.210	1.38E-01	1.95E-02	4.08E-03	5.22E-02	7.70E-03
0.090	0.250	1.26E-01	2.11E-02	4.08E-03	4.58E-02	8.53E-03
0.090	0.300	1.15E-01	2.31E-02	4.08E-03	4.00E-02	9.53E-03
0.090	0.400	1.02E-01	2.69E-02	4.08E-03	3.21E-02	1.14E-02
0.090	0.500	9.34E-02	3.03E-02	4.08E-03	2.68E-02	1.31E-02
0.090	0.600	8.79E-02	3.34E-02	4.08E-03	2.30E-02	1.47E-02
0.090	0.800	8.14E-02	3.88E-02	4.08E-03	1.78E-02	1.73E-02
0.090	1.000	7.78E-02	4.32E-02	4.08E-03	1.42E-02	1.96E-02
0.090	1.200	7.57E-02	4.69E-02	4.08E-03	1.17E-02	2.14E-02
0.090	1.400	7.44E-02	5.00E-02	4.08E-03	9.83E-03	2.30E-02
0.090	1.600	7.36E-02	5.26E-02	4.08E-03	8.38E-03	2.42E-02
0.090	1.800	7.29E-02	5.47E-02	4.08E-03	7.23E-03	2.53E-02
0.090	2.000	7.25E-02	5.65E-02	4.08E-03	6.30E-03	2.62E-02
0.090	2.500	7.20E-02	5.98E-02	4.08E-03	4.65E-03	2.79E-02
0.090	3.000	7.17E-02	6.22E-02	4.08E-03	3.59E-03	2.91E-02
0.090	4.000	7.14E-02	6.48E-02	4.08E-03	2.43E-03	3.03E-02
0.090	5.000	7.14E-02	6.65E-02	4.08E-03	1.78E-03	3.12E-02
0.090	7.000	7.13E-02	6.80E-02	4.08E-03	1.24E-03	3.19E-02
0.090	10.000	7.14E-02	6.92E-02	4.08E-03	8.51E-04	3.25E-02
------	-------	--------	--------	--------	--------	--------

***********************
* Layers:	M8-M7 *
***********************
Width	Spacing	Ctotal 		Cbottom		  Ca   		 Ccoup 		  Cf   
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
------	-------	--------	--------	--------	--------	--------
0.090	0.090	2.34E-01	3.05E-02	1.26E-02	9.50E-02	8.97E-03
0.090	0.110	2.07E-01	3.30E-02	1.26E-02	8.06E-02	1.02E-02
0.090	0.130	1.88E-01	3.54E-02	1.26E-02	7.02E-02	1.14E-02
0.090	0.150	1.73E-01	3.77E-02	1.26E-02	6.23E-02	1.26E-02
0.090	0.170	1.63E-01	3.99E-02	1.26E-02	5.60E-02	1.37E-02
0.090	0.190	1.54E-01	4.20E-02	1.26E-02	5.09E-02	1.47E-02
0.090	0.210	1.47E-01	4.40E-02	1.26E-02	4.66E-02	1.57E-02
0.090	0.250	1.37E-01	4.78E-02	1.26E-02	3.99E-02	1.76E-02
0.090	0.300	1.28E-01	5.19E-02	1.26E-02	3.36E-02	1.97E-02
0.090	0.400	1.18E-01	5.92E-02	1.26E-02	2.54E-02	2.33E-02
0.090	0.500	1.12E-01	6.51E-02	1.26E-02	2.01E-02	2.63E-02
0.090	0.600	1.09E-01	7.00E-02	1.26E-02	1.64E-02	2.87E-02
0.090	0.800	1.05E-01	7.74E-02	1.26E-02	1.16E-02	3.24E-02
0.090	1.000	1.04E-01	8.24E-02	1.26E-02	8.62E-03	3.49E-02
0.090	1.200	1.03E-01	8.61E-02	1.26E-02	6.74E-03	3.68E-02
0.090	1.400	1.03E-01	8.89E-02	1.26E-02	5.40E-03	3.82E-02
0.090	1.600	1.02E-01	9.10E-02	1.26E-02	4.43E-03	3.92E-02
0.090	1.800	1.02E-01	9.26E-02	1.26E-02	3.71E-03	4.00E-02
0.090	2.000	1.02E-01	9.39E-02	1.26E-02	3.16E-03	4.07E-02
0.090	2.500	1.02E-01	9.59E-02	1.26E-02	2.27E-03	4.17E-02
0.090	3.000	1.02E-01	9.69E-02	1.26E-02	1.86E-03	4.22E-02
0.090	4.000	1.02E-01	9.84E-02	1.26E-02	1.32E-03	4.29E-02
0.090	5.000	1.02E-01	9.90E-02	1.26E-02	1.05E-03	4.32E-02
0.090	7.000	1.02E-01	9.99E-02	1.26E-02	8.05E-04	4.37E-02
0.090	10.000	1.02E-01	1.00E-01	1.26E-02	6.97E-04	4.38E-02
------	-------	--------	--------	--------	--------	--------

************************
* Layers:	MT1-AA *
************************
Width	Spacing	Ctotal 		Cbottom		  Ca   		 Ccoup 		  Cf   
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
------	-------	--------	--------	--------	--------	--------
0.360	0.420	2.32E-01	1.11E-02	2.48E-03	1.01E-01	4.30E-03
0.360	0.440	2.25E-01	1.12E-02	2.48E-03	9.69E-02	4.37E-03
0.360	0.460	2.18E-01	1.14E-02	2.48E-03	9.36E-02	4.45E-03
0.360	0.480	2.12E-01	1.15E-02	2.48E-03	9.05E-02	4.52E-03
0.360	0.500	2.07E-01	1.17E-02	2.48E-03	8.77E-02	4.59E-03
0.360	0.520	2.01E-01	1.18E-02	2.48E-03	8.51E-02	4.64E-03
0.360	0.540	1.97E-01	1.19E-02	2.48E-03	8.27E-02	4.71E-03
0.360	0.590	1.86E-01	1.23E-02	2.48E-03	7.73E-02	4.89E-03
0.360	0.640	1.77E-01	1.26E-02	2.48E-03	7.26E-02	5.07E-03
0.360	0.690	1.69E-01	1.29E-02	2.48E-03	6.86E-02	5.21E-03
0.360	0.740	1.62E-01	1.33E-02	2.48E-03	6.52E-02	5.41E-03
0.360	0.840	1.50E-01	1.40E-02	2.48E-03	5.94E-02	5.74E-03
0.360	1.040	1.33E-01	1.52E-02	2.48E-03	5.08E-02	6.34E-03
0.360	1.240	1.22E-01	1.64E-02	2.48E-03	4.48E-02	6.96E-03
0.360	1.440	1.14E-01	1.76E-02	2.48E-03	4.06E-02	7.54E-03
0.360	1.640	1.07E-01	1.87E-02	2.48E-03	3.70E-02	8.13E-03
0.360	1.840	1.02E-01	1.98E-02	2.48E-03	3.43E-02	8.68E-03
0.360	2.040	9.75E-02	2.09E-02	2.48E-03	3.19E-02	9.22E-03
0.360	2.540	8.97E-02	2.34E-02	2.48E-03	2.73E-02	1.05E-02
0.360	3.040	8.41E-02	2.60E-02	2.48E-03	2.39E-02	1.17E-02
0.360	4.040	7.86E-02	3.05E-02	2.48E-03	1.97E-02	1.40E-02
0.360	5.040	7.47E-02	3.44E-02	2.48E-03	1.64E-02	1.60E-02
0.360	7.040	6.98E-02	4.06E-02	2.48E-03	1.19E-02	1.91E-02
0.360	10.040	6.71E-02	4.74E-02	2.48E-03	8.15E-03	2.25E-02
------	-------	--------	--------	--------	--------	--------

**********************************
* Layers:	MT1-POLY (on AA) *
**********************************
Width	Spacing	Ctotal 		Cbottom		  Ca   		 Ccoup 		  Cf   
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
------	-------	--------	--------	--------	--------	--------
0.360	0.420	2.30E-01	1.12E-02	2.52E-03	9.96E-02	4.35E-03
0.360	0.440	2.23E-01	1.13E-02	2.52E-03	9.59E-02	4.40E-03
0.360	0.460	2.16E-01	1.15E-02	2.52E-03	9.26E-02	4.48E-03
0.360	0.480	2.10E-01	1.16E-02	2.52E-03	8.96E-02	4.55E-03
0.360	0.500	2.05E-01	1.18E-02	2.52E-03	8.68E-02	4.63E-03
0.360	0.520	1.99E-01	1.19E-02	2.52E-03	8.41E-02	4.70E-03
0.360	0.540	1.95E-01	1.21E-02	2.52E-03	8.17E-02	4.77E-03
0.360	0.590	1.84E-01	1.24E-02	2.52E-03	7.63E-02	4.96E-03
0.360	0.640	1.75E-01	1.28E-02	2.52E-03	7.17E-02	5.12E-03
0.360	0.690	1.67E-01	1.31E-02	2.52E-03	6.77E-02	5.30E-03
0.360	0.740	1.60E-01	1.35E-02	2.52E-03	6.42E-02	5.49E-03
0.360	0.840	1.48E-01	1.42E-02	2.52E-03	5.84E-02	5.82E-03
0.360	1.040	1.32E-01	1.54E-02	2.52E-03	4.99E-02	6.45E-03
0.360	1.240	1.20E-01	1.66E-02	2.52E-03	4.40E-02	7.06E-03
0.360	1.440	1.12E-01	1.79E-02	2.52E-03	3.96E-02	7.67E-03
0.360	1.640	1.05E-01	1.91E-02	2.52E-03	3.61E-02	8.27E-03
0.360	1.840	1.00E-01	2.02E-02	2.52E-03	3.33E-02	8.84E-03
0.360	2.040	9.58E-02	2.13E-02	2.52E-03	3.10E-02	9.40E-03
0.360	2.540	8.82E-02	2.40E-02	2.52E-03	2.65E-02	1.07E-02
0.360	3.040	8.29E-02	2.63E-02	2.52E-03	2.31E-02	1.19E-02
0.360	4.040	7.63E-02	3.07E-02	2.52E-03	1.85E-02	1.41E-02
0.360	5.040	7.24E-02	3.46E-02	2.52E-03	1.53E-02	1.60E-02
0.360	7.040	6.85E-02	4.08E-02	2.52E-03	1.12E-02	1.91E-02
0.360	10.040	6.59E-02	4.74E-02	2.52E-03	7.58E-03	2.25E-02
------	-------	--------	--------	--------	--------	--------

************************
* Layers:	MT1-M1 *
************************
Width	Spacing	Ctotal 		Cbottom		  Ca   		 Ccoup 		  Cf   
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
------	-------	--------	--------	--------	--------	--------
0.360	0.420	2.30E-01	1.19E-02	2.84E-03	9.94E-02	4.54E-03
0.360	0.440	2.23E-01	1.21E-02	2.84E-03	9.57E-02	4.63E-03
0.360	0.460	2.16E-01	1.23E-02	2.84E-03	9.24E-02	4.71E-03
0.360	0.480	2.10E-01	1.24E-02	2.84E-03	8.94E-02	4.79E-03
0.360	0.500	2.05E-01	1.26E-02	2.84E-03	8.65E-02	4.87E-03
0.360	0.520	1.99E-01	1.27E-02	2.84E-03	8.39E-02	4.93E-03
0.360	0.540	1.95E-01	1.29E-02	2.84E-03	8.15E-02	5.01E-03
0.360	0.590	1.84E-01	1.33E-02	2.84E-03	7.61E-02	5.23E-03
0.360	0.640	1.75E-01	1.37E-02	2.84E-03	7.15E-02	5.43E-03
0.360	0.690	1.67E-01	1.41E-02	2.84E-03	6.75E-02	5.62E-03
0.360	0.740	1.60E-01	1.45E-02	2.84E-03	6.40E-02	5.82E-03
0.360	0.840	1.49E-01	1.52E-02	2.84E-03	5.82E-02	6.17E-03
0.360	1.040	1.32E-01	1.65E-02	2.84E-03	4.96E-02	6.85E-03
0.360	1.240	1.20E-01	1.79E-02	2.84E-03	4.37E-02	7.55E-03
0.360	1.440	1.12E-01	1.93E-02	2.84E-03	3.93E-02	8.23E-03
0.360	1.640	1.06E-01	2.06E-02	2.84E-03	3.58E-02	8.88E-03
0.360	1.840	1.00E-01	2.19E-02	2.84E-03	3.29E-02	9.52E-03
0.360	2.040	9.63E-02	2.31E-02	2.84E-03	3.05E-02	1.01E-02
0.360	2.540	8.86E-02	2.61E-02	2.84E-03	2.60E-02	1.16E-02
0.360	3.040	8.36E-02	2.87E-02	2.84E-03	2.26E-02	1.29E-02
0.360	4.040	7.73E-02	3.36E-02	2.84E-03	1.78E-02	1.54E-02
0.360	5.040	7.36E-02	3.77E-02	2.84E-03	1.47E-02	1.74E-02
0.360	7.040	7.00E-02	4.41E-02	2.84E-03	1.05E-02	2.06E-02
0.360	10.040	6.77E-02	5.09E-02	2.84E-03	6.94E-03	2.40E-02
------	-------	--------	--------	--------	--------	--------

************************
* Layers:	MT1-M2 *
************************
Width	Spacing	Ctotal 		Cbottom		  Ca   		 Ccoup 		  Cf   
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
------	-------	--------	--------	--------	--------	--------
0.360	0.420	2.30E-01	1.28E-02	3.20E-03	9.92E-02	4.77E-03
0.360	0.440	2.23E-01	1.29E-02	3.20E-03	9.56E-02	4.87E-03
0.360	0.460	2.16E-01	1.31E-02	3.20E-03	9.23E-02	4.96E-03
0.360	0.480	2.10E-01	1.33E-02	3.20E-03	8.92E-02	5.05E-03
0.360	0.500	2.05E-01	1.35E-02	3.20E-03	8.64E-02	5.14E-03
0.360	0.520	1.99E-01	1.37E-02	3.20E-03	8.37E-02	5.23E-03
0.360	0.540	1.95E-01	1.38E-02	3.20E-03	8.13E-02	5.32E-03
0.360	0.590	1.84E-01	1.43E-02	3.20E-03	7.59E-02	5.54E-03
0.360	0.640	1.75E-01	1.47E-02	3.20E-03	7.12E-02	5.76E-03
0.360	0.690	1.67E-01	1.52E-02	3.20E-03	6.72E-02	5.98E-03
0.360	0.740	1.60E-01	1.56E-02	3.20E-03	6.37E-02	6.19E-03
0.360	0.840	1.49E-01	1.64E-02	3.20E-03	5.79E-02	6.62E-03
0.360	1.040	1.32E-01	1.80E-02	3.20E-03	4.94E-02	7.39E-03
0.360	1.240	1.21E-01	1.95E-02	3.20E-03	4.34E-02	8.17E-03
0.360	1.440	1.12E-01	2.11E-02	3.20E-03	3.88E-02	8.93E-03
0.360	1.640	1.06E-01	2.25E-02	3.20E-03	3.53E-02	9.67E-03
0.360	1.840	1.01E-01	2.40E-02	3.20E-03	3.24E-02	1.04E-02
0.360	2.040	9.69E-02	2.53E-02	3.20E-03	3.00E-02	1.11E-02
0.360	2.540	8.94E-02	2.86E-02	3.20E-03	2.54E-02	1.27E-02
0.360	3.040	8.45E-02	3.14E-02	3.20E-03	2.19E-02	1.41E-02
0.360	4.040	7.85E-02	3.66E-02	3.20E-03	1.71E-02	1.67E-02
0.360	5.040	7.51E-02	4.10E-02	3.20E-03	1.39E-02	1.89E-02
0.360	7.040	7.18E-02	4.75E-02	3.20E-03	9.82E-03	2.22E-02
0.360	10.040	7.00E-02	5.44E-02	3.20E-03	6.39E-03	2.56E-02
------	-------	--------	--------	--------	--------	--------

************************
* Layers:	MT1-M3 *
************************
Width	Spacing	Ctotal 		Cbottom		  Ca   		 Ccoup 		  Cf   
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
------	-------	--------	--------	--------	--------	--------
0.360	0.420	2.30E-01	1.38E-02	3.67E-03	9.90E-02	5.06E-03
0.360	0.440	2.23E-01	1.40E-02	3.67E-03	9.54E-02	5.17E-03
0.360	0.460	2.16E-01	1.42E-02	3.67E-03	9.21E-02	5.27E-03
0.360	0.480	2.10E-01	1.44E-02	3.67E-03	8.90E-02	5.38E-03
0.360	0.500	2.05E-01	1.46E-02	3.67E-03	8.62E-02	5.48E-03
0.360	0.520	2.00E-01	1.48E-02	3.67E-03	8.35E-02	5.58E-03
0.360	0.540	1.95E-01	1.50E-02	3.67E-03	8.11E-02	5.68E-03
0.360	0.590	1.84E-01	1.55E-02	3.67E-03	7.57E-02	5.93E-03
0.360	0.640	1.75E-01	1.60E-02	3.67E-03	7.10E-02	6.19E-03
0.360	0.690	1.67E-01	1.65E-02	3.67E-03	6.70E-02	6.43E-03
0.360	0.740	1.60E-01	1.70E-02	3.67E-03	6.35E-02	6.67E-03
0.360	0.840	1.49E-01	1.80E-02	3.67E-03	5.76E-02	7.15E-03
0.360	1.040	1.33E-01	1.97E-02	3.67E-03	4.90E-02	8.04E-03
0.360	1.240	1.21E-01	2.15E-02	3.67E-03	4.29E-02	8.93E-03
0.360	1.440	1.13E-01	2.32E-02	3.67E-03	3.83E-02	9.79E-03
0.360	1.640	1.07E-01	2.49E-02	3.67E-03	3.48E-02	1.06E-02
0.360	1.840	1.02E-01	2.65E-02	3.67E-03	3.18E-02	1.14E-02
0.360	2.040	9.77E-02	2.80E-02	3.67E-03	2.94E-02	1.22E-02
0.360	2.540	9.05E-02	3.16E-02	3.67E-03	2.46E-02	1.40E-02
0.360	3.040	8.58E-02	3.49E-02	3.67E-03	2.12E-02	1.56E-02
0.360	4.040	8.02E-02	4.04E-02	3.67E-03	1.63E-02	1.84E-02
0.360	5.040	7.71E-02	4.50E-02	3.67E-03	1.31E-02	2.07E-02
0.360	7.040	7.42E-02	5.18E-02	3.67E-03	9.05E-03	2.41E-02
0.360	10.040	7.26E-02	5.86E-02	3.67E-03	5.76E-03	2.75E-02
------	-------	--------	--------	--------	--------	--------

************************
* Layers:	MT1-M4 *
************************
Width	Spacing	Ctotal 		Cbottom		  Ca   		 Ccoup 		  Cf   
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
------	-------	--------	--------	--------	--------	--------
0.360	0.420	2.30E-01	1.52E-02	4.30E-03	9.88E-02	5.44E-03
0.360	0.440	2.23E-01	1.54E-02	4.30E-03	9.52E-02	5.56E-03
0.360	0.460	2.17E-01	1.57E-02	4.30E-03	9.18E-02	5.68E-03
0.360	0.480	2.11E-01	1.59E-02	4.30E-03	8.87E-02	5.80E-03
0.360	0.500	2.05E-01	1.61E-02	4.30E-03	8.59E-02	5.92E-03
0.360	0.520	2.00E-01	1.64E-02	4.30E-03	8.33E-02	6.04E-03
0.360	0.540	1.95E-01	1.66E-02	4.30E-03	8.08E-02	6.15E-03
0.360	0.590	1.84E-01	1.72E-02	4.30E-03	7.53E-02	6.45E-03
0.360	0.640	1.75E-01	1.78E-02	4.30E-03	7.07E-02	6.74E-03
0.360	0.690	1.67E-01	1.83E-02	4.30E-03	6.66E-02	6.99E-03
0.360	0.740	1.61E-01	1.88E-02	4.30E-03	6.31E-02	7.27E-03
0.360	0.840	1.49E-01	1.99E-02	4.30E-03	5.72E-02	7.82E-03
0.360	1.040	1.33E-01	2.21E-02	4.30E-03	4.85E-02	8.89E-03
0.360	1.240	1.22E-01	2.41E-02	4.30E-03	4.23E-02	9.92E-03
0.360	1.440	1.14E-01	2.61E-02	4.30E-03	3.77E-02	1.09E-02
0.360	1.640	1.08E-01	2.80E-02	4.30E-03	3.40E-02	1.19E-02
0.360	1.840	1.03E-01	2.98E-02	4.30E-03	3.11E-02	1.28E-02
0.360	2.040	9.88E-02	3.16E-02	4.30E-03	2.85E-02	1.36E-02
0.360	2.540	9.20E-02	3.56E-02	4.30E-03	2.37E-02	1.56E-02
0.360	3.040	8.76E-02	3.92E-02	4.30E-03	2.02E-02	1.75E-02
0.360	4.040	8.24E-02	4.52E-02	4.30E-03	1.53E-02	2.04E-02
0.360	5.040	7.97E-02	5.01E-02	4.30E-03	1.21E-02	2.29E-02
0.360	7.040	7.73E-02	5.70E-02	4.30E-03	8.19E-03	2.63E-02
0.360	10.040	7.60E-02	6.36E-02	4.30E-03	5.09E-03	2.97E-02
------	-------	--------	--------	--------	--------	--------

************************
* Layers:	MT1-M5 *
************************
Width	Spacing	Ctotal 		Cbottom		  Ca   		 Ccoup 		  Cf   
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
------	-------	--------	--------	--------	--------	--------
0.360	0.420	2.31E-01	1.71E-02	5.19E-03	9.84E-02	5.95E-03
0.360	0.440	2.24E-01	1.74E-02	5.19E-03	9.48E-02	6.10E-03
0.360	0.460	2.17E-01	1.76E-02	5.19E-03	9.14E-02	6.22E-03
0.360	0.480	2.11E-01	1.79E-02	5.19E-03	8.83E-02	6.36E-03
0.360	0.500	2.05E-01	1.82E-02	5.19E-03	8.55E-02	6.50E-03
0.360	0.520	2.00E-01	1.85E-02	5.19E-03	8.28E-02	6.64E-03
0.360	0.540	1.95E-01	1.87E-02	5.19E-03	8.03E-02	6.78E-03
0.360	0.590	1.85E-01	1.94E-02	5.19E-03	7.49E-02	7.11E-03
0.360	0.640	1.76E-01	2.01E-02	5.19E-03	7.01E-02	7.47E-03
0.360	0.690	1.68E-01	2.08E-02	5.19E-03	6.61E-02	7.81E-03
0.360	0.740	1.61E-01	2.15E-02	5.19E-03	6.25E-02	8.15E-03
0.360	0.840	1.50E-01	2.28E-02	5.19E-03	5.66E-02	8.80E-03
0.360	1.040	1.34E-01	2.53E-02	5.19E-03	4.78E-02	1.01E-02
0.360	1.240	1.23E-01	2.77E-02	5.19E-03	4.15E-02	1.13E-02
0.360	1.440	1.15E-01	3.01E-02	5.19E-03	3.68E-02	1.24E-02
0.360	1.640	1.09E-01	3.23E-02	5.19E-03	3.30E-02	1.36E-02
0.360	1.840	1.04E-01	3.44E-02	5.19E-03	3.00E-02	1.46E-02
0.360	2.040	1.01E-01	3.63E-02	5.19E-03	2.75E-02	1.56E-02
0.360	2.540	9.43E-02	4.09E-02	5.19E-03	2.25E-02	1.79E-02
0.360	3.040	9.02E-02	4.49E-02	5.19E-03	1.89E-02	1.99E-02
0.360	4.040	8.56E-02	5.14E-02	5.19E-03	1.41E-02	2.31E-02
0.360	5.040	8.34E-02	5.65E-02	5.19E-03	1.09E-02	2.56E-02
0.360	7.040	8.14E-02	6.35E-02	5.19E-03	7.22E-03	2.91E-02
0.360	10.040	8.04E-02	6.97E-02	5.19E-03	4.37E-03	3.23E-02
------	-------	--------	--------	--------	--------	--------

************************
* Layers:	MT1-M6 *
************************
Width	Spacing	Ctotal 		Cbottom		  Ca   		 Ccoup 		  Cf   
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
------	-------	--------	--------	--------	--------	--------
0.360	0.420	2.31E-01	2.00E-02	6.54E-03	9.78E-02	6.71E-03
0.360	0.440	2.24E-01	2.03E-02	6.54E-03	9.42E-02	6.88E-03
0.360	0.460	2.18E-01	2.07E-02	6.54E-03	9.08E-02	7.05E-03
0.360	0.480	2.12E-01	2.10E-02	6.54E-03	8.77E-02	7.24E-03
0.360	0.500	2.06E-01	2.14E-02	6.54E-03	8.48E-02	7.42E-03
0.360	0.520	2.01E-01	2.17E-02	6.54E-03	8.21E-02	7.58E-03
0.360	0.540	1.96E-01	2.21E-02	6.54E-03	7.97E-02	7.76E-03
0.360	0.590	1.86E-01	2.29E-02	6.54E-03	7.41E-02	8.19E-03
0.360	0.640	1.77E-01	2.38E-02	6.54E-03	6.94E-02	8.62E-03
0.360	0.690	1.69E-01	2.46E-02	6.54E-03	6.52E-02	9.04E-03
0.360	0.740	1.62E-01	2.54E-02	6.54E-03	6.16E-02	9.45E-03
0.360	0.840	1.51E-01	2.71E-02	6.54E-03	5.56E-02	1.03E-02
0.360	1.040	1.35E-01	3.02E-02	6.54E-03	4.67E-02	1.18E-02
0.360	1.240	1.25E-01	3.31E-02	6.54E-03	4.03E-02	1.33E-02
0.360	1.440	1.17E-01	3.59E-02	6.54E-03	3.54E-02	1.47E-02
0.360	1.640	1.11E-01	3.85E-02	6.54E-03	3.16E-02	1.60E-02
0.360	1.840	1.07E-01	4.09E-02	6.54E-03	2.85E-02	1.72E-02
0.360	2.040	1.04E-01	4.33E-02	6.54E-03	2.59E-02	1.84E-02
0.360	2.540	9.79E-02	4.85E-02	6.54E-03	2.09E-02	2.10E-02
0.360	3.040	9.43E-02	5.29E-02	6.54E-03	1.73E-02	2.32E-02
0.360	4.040	9.05E-02	5.99E-02	6.54E-03	1.26E-02	2.67E-02
0.360	5.040	8.87E-02	6.51E-02	6.54E-03	9.57E-03	2.93E-02
0.360	7.040	8.72E-02	7.19E-02	6.54E-03	6.13E-03	3.27E-02
0.360	10.040	8.66E-02	7.75E-02	6.54E-03	3.68E-03	3.55E-02
------	-------	--------	--------	--------	--------	--------

************************
* Layers:	MT1-M7 *
************************
Width	Spacing	Ctotal 		Cbottom		  Ca   		 Ccoup 		  Cf   
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
------	-------	--------	--------	--------	--------	--------
0.360	0.420	2.33E-01	2.48E-02	8.87E-03	9.68E-02	7.99E-03
0.360	0.440	2.25E-01	2.53E-02	8.87E-03	9.31E-02	8.22E-03
0.360	0.460	2.19E-01	2.58E-02	8.87E-03	8.97E-02	8.46E-03
0.360	0.480	2.13E-01	2.63E-02	8.87E-03	8.66E-02	8.69E-03
0.360	0.500	2.07E-01	2.67E-02	8.87E-03	8.37E-02	8.92E-03
0.360	0.520	2.02E-01	2.72E-02	8.87E-03	8.10E-02	9.16E-03
0.360	0.540	1.98E-01	2.76E-02	8.87E-03	7.84E-02	9.39E-03
0.360	0.590	1.87E-01	2.88E-02	8.87E-03	7.28E-02	9.95E-03
0.360	0.640	1.78E-01	2.99E-02	8.87E-03	6.80E-02	1.05E-02
0.360	0.690	1.71E-01	3.10E-02	8.87E-03	6.38E-02	1.11E-02
0.360	0.740	1.64E-01	3.21E-02	8.87E-03	6.01E-02	1.16E-02
0.360	0.840	1.54E-01	3.42E-02	8.87E-03	5.40E-02	1.26E-02
0.360	1.040	1.38E-01	3.81E-02	8.87E-03	4.48E-02	1.46E-02
0.360	1.240	1.28E-01	4.18E-02	8.87E-03	3.83E-02	1.65E-02
0.360	1.440	1.21E-01	4.52E-02	8.87E-03	3.33E-02	1.82E-02
0.360	1.640	1.16E-01	4.84E-02	8.87E-03	2.94E-02	1.98E-02
0.360	1.840	1.12E-01	5.13E-02	8.87E-03	2.63E-02	2.12E-02
0.360	2.040	1.09E-01	5.40E-02	8.87E-03	2.37E-02	2.26E-02
0.360	2.540	1.04E-01	6.00E-02	8.87E-03	1.87E-02	2.56E-02
0.360	3.040	1.01E-01	6.49E-02	8.87E-03	1.52E-02	2.80E-02
0.360	4.040	9.84E-02	7.23E-02	8.87E-03	1.07E-02	3.17E-02
0.360	5.040	9.71E-02	7.74E-02	8.87E-03	7.96E-03	3.43E-02
0.360	7.040	9.62E-02	8.38E-02	8.87E-03	4.91E-03	3.75E-02
0.360	10.040	9.58E-02	8.85E-02	8.87E-03	2.87E-03	3.98E-02
------	-------	--------	--------	--------	--------	--------

************************
* Layers:	MT1-M8 *
************************
Width	Spacing	Ctotal 		Cbottom		  Ca   		 Ccoup 		  Cf   
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
------	-------	--------	--------	--------	--------	--------
0.360	0.420	2.36E-01	3.50E-02	1.38E-02	9.45E-02	1.06E-02
0.360	0.440	2.29E-01	3.57E-02	1.38E-02	9.07E-02	1.09E-02
0.360	0.460	2.22E-01	3.63E-02	1.38E-02	8.73E-02	1.13E-02
0.360	0.480	2.17E-01	3.70E-02	1.38E-02	8.41E-02	1.16E-02
0.360	0.500	2.11E-01	3.77E-02	1.38E-02	8.11E-02	1.20E-02
0.360	0.520	2.06E-01	3.84E-02	1.38E-02	7.84E-02	1.23E-02
0.360	0.540	2.02E-01	3.90E-02	1.38E-02	7.58E-02	1.26E-02
0.360	0.590	1.91E-01	4.06E-02	1.38E-02	7.00E-02	1.34E-02
