*
* No part of this file can be released without the consent of SMIC.
*
*This file contains the interconnect capacitance of parallel lines above a bottom plate.
*Three corners are provided : Typical, Fast and Slow.
***********************************************************
*****  SMIC Interconnect Capacitance Table     ************
***********************************************************

Process: 	65nm Mixed Signal Low Leakage 1P10M(1P9M, 1P8M, 1P7M, 1P6M) Salicide, Triple Voltage (1.2V/1.8/2.5V)
Version: 	1.0
Date: 		2009-09-30
Corner:  	Typical
Structure: 	Structure-2 (Parallel lines between two plates)
(Please refer to SMIC SPICE document for the definition of each capacitance)


**************************
* Layers:	M2-M1-AA *
**************************
Width	Spacing	Ctotal 		Cbottom		  Ctop 		Cb_area		Ct_area		 Ccoup 		  Csd  		  Csu  
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
-------	-------	--------	--------	--------	--------	--------	--------	--------	--------
0.090	0.200	1.40E-01	2.53E-02	1.57E-02	7.49E-03	4.52E-03	4.94E-02	8.89E-03	5.61E-03
0.090	0.250	1.26E-01	2.82E-02	1.76E-02	7.49E-03	4.52E-03	3.99E-02	1.04E-02	6.55E-03
0.090	0.300	1.17E-01	3.10E-02	1.94E-02	7.49E-03	4.52E-03	3.31E-02	1.18E-02	7.44E-03
0.090	0.400	1.06E-01	3.60E-02	2.26E-02	7.49E-03	4.52E-03	2.38E-02	1.43E-02	9.05E-03
0.090	0.500	1.01E-01	4.02E-02	2.54E-02	7.49E-03	4.52E-03	1.75E-02	1.64E-02	1.04E-02
0.090	0.600	9.78E-02	4.37E-02	2.77E-02	7.49E-03	4.52E-03	1.32E-02	1.81E-02	1.16E-02
0.090	0.800	9.51E-02	4.89E-02	3.10E-02	7.49E-03	4.52E-03	7.62E-03	2.07E-02	1.33E-02
0.090	1.000	9.43E-02	5.21E-02	3.32E-02	7.49E-03	4.52E-03	4.51E-03	2.23E-02	1.43E-02
0.090	1.200	9.40E-02	5.41E-02	3.45E-02	7.49E-03	4.52E-03	2.73E-03	2.33E-02	1.50E-02
0.090	1.400	9.39E-02	5.52E-02	3.53E-02	7.49E-03	4.52E-03	1.68E-03	2.39E-02	1.54E-02
0.090	1.600	9.39E-02	5.59E-02	3.58E-02	7.49E-03	4.52E-03	1.09E-03	2.42E-02	1.56E-02
0.090	1.800	9.39E-02	5.64E-02	3.61E-02	7.49E-03	4.52E-03	7.12E-04	2.45E-02	1.58E-02
0.090	2.000	9.38E-02	5.66E-02	3.62E-02	7.49E-03	4.52E-03	5.01E-04	2.46E-02	1.58E-02
0.090	2.500	9.39E-02	5.70E-02	3.65E-02	7.49E-03	4.52E-03	2.38E-04	2.47E-02	1.60E-02
0.090	3.000	9.39E-02	5.71E-02	3.65E-02	7.49E-03	4.52E-03	1.50E-04	2.48E-02	1.60E-02
0.090	4.000	9.38E-02	5.71E-02	3.66E-02	7.49E-03	4.52E-03	7.70E-05	2.48E-02	1.60E-02
0.090	5.000	9.38E-02	5.72E-02	3.66E-02	7.49E-03	4.52E-03	3.66E-05	2.48E-02	1.60E-02
0.090	7.000	9.39E-02	5.72E-02	3.66E-02	7.49E-03	4.52E-03	1.79E-05	2.49E-02	1.61E-02
0.090	10.000	9.38E-02	5.72E-02	3.66E-02	7.49E-03	4.52E-03	7.19E-06	2.49E-02	1.60E-02
-------	-------	--------	--------	--------	--------	--------	--------	--------	--------

**************************
* Layers:	M3-M2-AA *
**************************
Width	Spacing	Ctotal 		Cbottom		  Ctop 		Cb_area		Ct_area		 Ccoup 		  Csd  		  Csu  
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
-------	-------	--------	--------	--------	--------	--------	--------	--------	--------
0.100	0.080	2.51E-01	9.08E-03	3.30E-02	4.15E-03	1.72E-02	1.05E-01	2.47E-03	7.91E-03
0.100	0.100	2.17E-01	9.85E-03	3.60E-02	4.15E-03	1.72E-02	8.56E-02	2.85E-03	9.39E-03
0.100	0.120	1.94E-01	1.06E-02	3.88E-02	4.15E-03	1.72E-02	7.24E-02	3.22E-03	1.08E-02
0.100	0.130	1.86E-01	1.10E-02	4.02E-02	4.15E-03	1.72E-02	6.72E-02	3.41E-03	1.15E-02
0.100	0.150	1.72E-01	1.17E-02	4.29E-02	4.15E-03	1.72E-02	5.86E-02	3.77E-03	1.28E-02
0.100	0.180	1.57E-01	1.27E-02	4.66E-02	4.15E-03	1.72E-02	4.88E-02	4.29E-03	1.47E-02
0.100	0.200	1.50E-01	1.34E-02	4.91E-02	4.15E-03	1.72E-02	4.37E-02	4.62E-03	1.59E-02
0.100	0.250	1.38E-01	1.50E-02	5.44E-02	4.15E-03	1.72E-02	3.42E-02	5.41E-03	1.86E-02
0.100	0.300	1.30E-01	1.64E-02	5.91E-02	4.15E-03	1.72E-02	2.74E-02	6.14E-03	2.09E-02
0.100	0.400	1.23E-01	1.89E-02	6.65E-02	4.15E-03	1.72E-02	1.86E-02	7.39E-03	2.47E-02
0.100	0.500	1.19E-01	2.09E-02	7.18E-02	4.15E-03	1.72E-02	1.31E-02	8.36E-03	2.73E-02
0.100	0.600	1.17E-01	2.24E-02	7.59E-02	4.15E-03	1.72E-02	9.47E-03	9.12E-03	2.93E-02
0.100	0.800	1.16E-01	2.45E-02	8.12E-02	4.15E-03	1.72E-02	5.17E-03	1.02E-02	3.20E-02
0.100	1.000	1.15E-01	2.56E-02	8.38E-02	4.15E-03	1.72E-02	2.97E-03	1.07E-02	3.33E-02
0.100	1.200	1.15E-01	2.63E-02	8.54E-02	4.15E-03	1.72E-02	1.77E-03	1.11E-02	3.41E-02
0.100	1.400	1.15E-01	2.68E-02	8.65E-02	4.15E-03	1.72E-02	1.11E-03	1.13E-02	3.46E-02
0.100	1.600	1.15E-01	2.70E-02	8.70E-02	4.15E-03	1.72E-02	7.28E-04	1.14E-02	3.49E-02
0.100	1.800	1.15E-01	2.72E-02	8.73E-02	4.15E-03	1.72E-02	4.81E-04	1.15E-02	3.51E-02
0.100	2.000	1.15E-01	2.72E-02	8.73E-02	4.15E-03	1.72E-02	3.41E-04	1.15E-02	3.50E-02
0.100	2.500	1.15E-01	2.74E-02	8.77E-02	4.15E-03	1.72E-02	1.72E-04	1.16E-02	3.53E-02
0.100	3.000	1.15E-01	2.74E-02	8.78E-02	4.15E-03	1.72E-02	1.17E-04	1.16E-02	3.53E-02
0.100	4.000	1.15E-01	2.74E-02	8.78E-02	4.15E-03	1.72E-02	5.68E-05	1.16E-02	3.53E-02
0.100	5.000	1.15E-01	2.74E-02	8.78E-02	4.15E-03	1.72E-02	2.77E-05	1.16E-02	3.53E-02
