*
* No part of this file can be released without the consent of SMIC.
*
*This file contains the interconnect capacitance of parallel lines above a bottom plate.
*Three corners are provided : Typical, Fast and Slow.
***********************************************************
*****  SMIC Interconnect Capacitance Table     ************
***********************************************************

Process: 	65nm Mixed Signal Low Leakage 1P10M(1P9M, 1P8M, 1P7M, 1P6M) Salicide, Triple Voltage (1.2V/1.8/2.5V)
Version: 	1.0
Date: 		2009-09-30
Corner:  	Typical
Structure: 	Structure-2 (Parallel lines between two plates)
(Please refer to SMIC SPICE document for the definition of each capacitance)


**************************
* Layers:	M2-M1-AA *
**************************
Width	Spacing	Ctotal 		Cbottom		  Ctop 		Cb_area		Ct_area		 Ccoup 		  Csd  		  Csu  
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
-------	-------	--------	--------	--------	--------	--------	--------	--------	--------

************************************
* Layers:	M8-M6-POLY (on AA) *
************************************
Width	Spacing	Ctotal 		Cbottom		  Ctop 		Cb_area		Ct_area		 Ccoup 		  Csd  		  Csu  
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
-------	-------	--------	--------	--------	--------	--------	--------	--------	--------
0.090	0.090	2.07E-01	3.13E-03	1.07E-02	1.10E-03	4.08E-03	8.97E-02	1.01E-03	3.29E-03
0.090	0.110	1.80E-01	3.35E-03	1.15E-02	1.10E-03	4.08E-03	7.63E-02	1.12E-03	3.69E-03
0.090	0.130	1.61E-01	3.57E-03	1.23E-02	1.10E-03	4.08E-03	6.68E-02	1.24E-03	4.09E-03
0.090	0.150	1.47E-01	3.78E-03	1.30E-02	1.10E-03	4.08E-03	5.95E-02	1.34E-03	4.48E-03
0.090	0.170	1.37E-01	3.99E-03	1.38E-02	1.10E-03	4.08E-03	5.39E-02	1.44E-03	4.85E-03
0.090	0.190	1.28E-01	4.20E-03	1.45E-02	1.10E-03	4.08E-03	4.94E-02	1.55E-03	5.23E-03
0.090	0.210	1.21E-01	4.41E-03	1.53E-02	1.10E-03	4.08E-03	4.56E-02	1.65E-03	5.61E-03
0.090	0.250	1.10E-01	4.82E-03	1.68E-02	1.10E-03	4.08E-03	3.97E-02	1.86E-03	6.35E-03
0.090	0.300	1.01E-01	5.33E-03	1.85E-02	1.10E-03	4.08E-03	3.42E-02	2.11E-03	7.23E-03
0.090	0.400	8.89E-02	6.28E-03	2.19E-02	1.10E-03	4.08E-03	2.69E-02	2.59E-03	8.91E-03
0.090	0.500	8.20E-02	7.17E-03	2.50E-02	1.10E-03	4.08E-03	2.20E-02	3.03E-03	1.04E-02
0.090	0.600	7.75E-02	7.99E-03	2.77E-02	1.10E-03	4.08E-03	1.85E-02	3.44E-03	1.18E-02
0.090	0.800	7.25E-02	9.41E-03	3.25E-02	1.10E-03	4.08E-03	1.35E-02	4.15E-03	1.42E-02
0.090	1.000	6.99E-02	1.06E-02	3.63E-02	1.10E-03	4.08E-03	1.03E-02	4.74E-03	1.61E-02
0.090	1.200	6.85E-02	1.15E-02	3.94E-02	1.10E-03	4.08E-03	7.95E-03	5.20E-03	1.76E-02
0.090	1.400	6.78E-02	1.22E-02	4.18E-02	1.10E-03	4.08E-03	6.22E-03	5.57E-03	1.89E-02
0.090	1.600	6.73E-02	1.28E-02	4.37E-02	1.10E-03	4.08E-03	4.92E-03	5.87E-03	1.98E-02
0.090	1.800	6.70E-02	1.33E-02	4.52E-02	1.10E-03	4.08E-03	3.95E-03	6.10E-03	2.06E-02
0.090	2.000	6.69E-02	1.37E-02	4.64E-02	1.10E-03	4.08E-03	3.17E-03	6.28E-03	2.12E-02
0.090	2.500	6.67E-02	1.43E-02	4.83E-02	1.10E-03	4.08E-03	1.91E-03	6.59E-03	2.21E-02
0.090	3.000	6.66E-02	1.47E-02	4.95E-02	1.10E-03	4.08E-03	1.16E-03	6.78E-03	2.27E-02
0.090	4.000	6.66E-02	1.50E-02	5.06E-02	1.10E-03	4.08E-03	4.89E-04	6.94E-03	2.32E-02
0.090	5.000	6.66E-02	1.51E-02	5.10E-02	1.10E-03	4.08E-03	2.40E-04	7.01E-03	2.34E-02
0.090	7.000	6.66E-02	1.52E-02	5.12E-02	1.10E-03	4.08E-03	8.79E-05	7.05E-03	2.36E-02
0.090	10.000	6.66E-02	1.52E-02	5.13E-02	1.10E-03	4.08E-03	3.75E-05	7.07E-03	2.36E-02
-------	-------	--------	--------	--------	--------	--------	--------	--------	--------

************************************
* Layers:	M8-M7-POLY (on AA) *
************************************
Width	Spacing	Ctotal 		Cbottom		  Ctop 		Cb_area		Ct_area		 Ccoup 		  Csd  		  Csu  
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
-------	-------	--------	--------	--------	--------	--------	--------	--------	--------
0.090	0.090	2.11E-01	2.38E-03	2.75E-02	9.37E-04	1.26E-02	8.63E-02	7.23E-04	7.46E-03
0.090	0.110	1.86E-01	2.58E-03	2.99E-02	9.37E-04	1.26E-02	7.24E-02	8.23E-04	8.66E-03
0.090	0.130	1.68E-01	2.78E-03	3.22E-02	9.37E-04	1.26E-02	6.25E-02	9.21E-04	9.83E-03
0.090	0.150	1.55E-01	2.97E-03	3.44E-02	9.37E-04	1.26E-02	5.49E-02	1.01E-03	1.09E-02
0.090	0.170	1.45E-01	3.16E-03	3.66E-02	9.37E-04	1.26E-02	4.89E-02	1.11E-03	1.20E-02
0.090	0.190	1.37E-01	3.34E-03	3.87E-02	9.37E-04	1.26E-02	4.41E-02	1.20E-03	1.31E-02
0.090	0.210	1.31E-01	3.53E-03	4.07E-02	9.37E-04	1.26E-02	4.00E-02	1.29E-03	1.41E-02
0.090	0.250	1.22E-01	3.88E-03	4.44E-02	9.37E-04	1.26E-02	3.37E-02	1.47E-03	1.59E-02
0.090	0.300	1.14E-01	4.30E-03	4.86E-02	9.37E-04	1.26E-02	2.79E-02	1.68E-03	1.80E-02
0.090	0.400	1.06E-01	5.04E-03	5.58E-02	9.37E-04	1.26E-02	2.02E-02	2.05E-03	2.16E-02
0.090	0.500	1.02E-01	5.65E-03	6.14E-02	9.37E-04	1.26E-02	1.53E-02	2.36E-03	2.44E-02
0.090	0.600	9.97E-02	6.16E-03	6.59E-02	9.37E-04	1.26E-02	1.20E-02	2.61E-03	2.67E-02
0.090	0.800	9.76E-02	6.91E-03	7.24E-02	9.37E-04	1.26E-02	7.88E-03	2.99E-03	2.99E-02
0.090	1.000	9.67E-02	7.43E-03	7.66E-02	9.37E-04	1.26E-02	5.49E-03	3.25E-03	3.20E-02
0.090	1.200	9.64E-02	7.77E-03	7.94E-02	9.37E-04	1.26E-02	4.01E-03	3.41E-03	3.34E-02
0.090	1.400	9.62E-02	8.02E-03	8.13E-02	9.37E-04	1.26E-02	3.00E-03	3.54E-03	3.44E-02
0.090	1.600	9.61E-02	8.19E-03	8.27E-02	9.37E-04	1.26E-02	2.30E-03	3.63E-03	3.51E-02
0.090	1.800	9.60E-02	8.32E-03	8.37E-02	9.37E-04	1.26E-02	1.79E-03	3.69E-03	3.56E-02
0.090	2.000	9.60E-02	8.40E-03	8.44E-02	9.37E-04	1.26E-02	1.46E-03	3.73E-03	3.59E-02
0.090	2.500	9.60E-02	8.56E-03	8.55E-02	9.37E-04	1.26E-02	8.73E-04	3.81E-03	3.65E-02
0.090	3.000	9.60E-02	8.63E-03	8.61E-02	9.37E-04	1.26E-02	5.85E-04	3.85E-03	3.68E-02
0.090	4.000	9.60E-02	8.72E-03	8.67E-02	9.37E-04	1.26E-02	2.86E-04	3.89E-03	3.70E-02
0.090	5.000	9.60E-02	8.75E-03	8.69E-02	9.37E-04	1.26E-02	1.57E-04	3.91E-03	3.72E-02
0.090	7.000	9.60E-02	8.78E-03	8.71E-02	9.37E-04	1.26E-02	6.85E-05	3.92E-03	3.73E-02
0.090	10.000	9.60E-02	8.79E-03	8.71E-02	9.37E-04	1.26E-02	3.15E-05	3.93E-03	3.73E-02
-------	-------	--------	--------	--------	--------	--------	--------	--------	--------

**************************
* Layers:	M8-M2-M1 *
**************************
Width	Spacing	Ctotal 		Cbottom		  Ctop 		Cb_area		Ct_area		 Ccoup 		  Csd  		  Csu  
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
-------	-------	--------	--------	--------	--------	--------	--------	--------	--------
0.090	0.090	2.11E-01	2.69E-02	2.77E-03	1.26E-02	1.13E-03	8.62E-02	7.15E-03	8.24E-04
0.090	0.110	1.85E-01	2.92E-02	3.02E-03	1.26E-02	1.13E-03	7.24E-02	8.31E-03	9.45E-04
0.090	0.130	1.67E-01	3.14E-02	3.25E-03	1.26E-02	1.13E-03	6.24E-02	9.44E-03	1.06E-03
0.090	0.150	1.54E-01	3.36E-02	3.49E-03	1.26E-02	1.13E-03	5.49E-02	1.05E-02	1.18E-03
0.090	0.170	1.44E-01	3.56E-02	3.71E-03	1.26E-02	1.13E-03	4.89E-02	1.15E-02	1.29E-03
0.090	0.190	1.36E-01	3.76E-02	3.94E-03	1.26E-02	1.13E-03	4.41E-02	1.25E-02	1.41E-03
0.090	0.210	1.30E-01	3.94E-02	4.17E-03	1.26E-02	1.13E-03	4.01E-02	1.34E-02	1.52E-03
0.090	0.250	1.21E-01	4.29E-02	4.59E-03	1.26E-02	1.13E-03	3.37E-02	1.52E-02	1.73E-03
0.090	0.300	1.13E-01	4.69E-02	5.10E-03	1.26E-02	1.13E-03	2.79E-02	1.72E-02	1.99E-03
0.090	0.400	1.05E-01	5.35E-02	5.99E-03	1.26E-02	1.13E-03	2.03E-02	2.05E-02	2.43E-03
0.090	0.500	1.00E-01	5.89E-02	6.75E-03	1.26E-02	1.13E-03	1.54E-02	2.32E-02	2.81E-03
0.090	0.600	9.80E-02	6.32E-02	7.38E-03	1.26E-02	1.13E-03	1.21E-02	2.53E-02	3.13E-03
0.090	0.800	9.57E-02	6.94E-02	8.31E-03	1.26E-02	1.13E-03	7.91E-03	2.84E-02	3.59E-03
0.090	1.000	9.48E-02	7.35E-02	8.95E-03	1.26E-02	1.13E-03	5.45E-03	3.05E-02	3.91E-03
0.090	1.200	9.44E-02	7.63E-02	9.37E-03	1.26E-02	1.13E-03	3.93E-03	3.19E-02	4.12E-03
0.090	1.400	9.43E-02	7.82E-02	9.67E-03	1.26E-02	1.13E-03	2.88E-03	3.28E-02	4.27E-03
0.090	1.600	9.42E-02	7.95E-02	9.88E-03	1.26E-02	1.13E-03	2.17E-03	3.35E-02	4.38E-03
0.090	1.800	9.41E-02	8.04E-02	1.00E-02	1.26E-02	1.13E-03	1.69E-03	3.39E-02	4.45E-03
0.090	2.000	9.41E-02	8.11E-02	1.01E-02	1.26E-02	1.13E-03	1.31E-03	3.43E-02	4.51E-03
0.090	2.500	9.40E-02	8.22E-02	1.03E-02	1.26E-02	1.13E-03	7.45E-04	3.48E-02	4.59E-03
0.090	3.000	9.41E-02	8.27E-02	1.04E-02	1.26E-02	1.13E-03	4.68E-04	3.51E-02	4.64E-03
0.090	4.000	9.41E-02	8.31E-02	1.05E-02	1.26E-02	1.13E-03	2.10E-04	3.53E-02	4.68E-03
0.090	5.000	9.41E-02	8.33E-02	1.05E-02	1.26E-02	1.13E-03	1.17E-04	3.54E-02	4.69E-03
0.090	7.000	9.41E-02	8.34E-02	1.05E-02	1.26E-02	1.13E-03	5.32E-05	3.54E-02	4.70E-03
0.090	10.000	9.41E-02	8.35E-02	1.05E-02	1.26E-02	1.13E-03	2.31E-05	3.55E-02	4.71E-03
-------	-------	--------	--------	--------	--------	--------	--------	--------	--------

**************************
* Layers:	M8-M3-M1 *
**************************
Width	Spacing	Ctotal 		Cbottom		  Ctop 		Cb_area		Ct_area		 Ccoup 		  Csd  		  Csu  
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
-------	-------	--------	--------	--------	--------	--------	--------	--------	--------
0.090	0.090	2.06E-01	1.03E-02	3.71E-03	4.08E-03	1.37E-03	8.96E-02	3.13E-03	1.17E-03
0.090	0.110	1.80E-01	1.11E-02	3.99E-03	4.08E-03	1.37E-03	7.62E-02	3.52E-03	1.31E-03
0.090	0.130	1.61E-01	1.19E-02	4.27E-03	4.08E-03	1.37E-03	6.66E-02	3.91E-03	1.45E-03
0.090	0.150	1.47E-01	1.26E-02	4.53E-03	4.08E-03	1.37E-03	5.94E-02	4.28E-03	1.58E-03
0.090	0.170	1.36E-01	1.34E-02	4.79E-03	4.08E-03	1.37E-03	5.38E-02	4.65E-03	1.71E-03
0.090	0.190	1.28E-01	1.41E-02	5.05E-03	4.08E-03	1.37E-03	4.92E-02	5.01E-03	1.84E-03
0.090	0.210	1.21E-01	1.48E-02	5.31E-03	4.08E-03	1.37E-03	4.54E-02	5.38E-03	1.97E-03
0.090	0.250	1.10E-01	1.62E-02	5.83E-03	4.08E-03	1.37E-03	3.95E-02	6.09E-03	2.23E-03
0.090	0.300	1.01E-01	1.80E-02	6.46E-03	4.08E-03	1.37E-03	3.41E-02	6.95E-03	2.54E-03
0.090	0.400	8.88E-02	2.12E-02	7.64E-03	4.08E-03	1.37E-03	2.67E-02	8.57E-03	3.13E-03
0.090	0.500	8.19E-02	2.42E-02	8.75E-03	4.08E-03	1.37E-03	2.18E-02	1.01E-02	3.69E-03
0.090	0.600	7.75E-02	2.69E-02	9.77E-03	4.08E-03	1.37E-03	1.82E-02	1.14E-02	4.20E-03
0.090	0.800	7.25E-02	3.15E-02	1.15E-02	4.08E-03	1.37E-03	1.33E-02	1.37E-02	5.08E-03
0.090	1.000	7.00E-02	3.53E-02	1.30E-02	4.08E-03	1.37E-03	9.92E-03	1.56E-02	5.80E-03
0.090	1.200	6.87E-02	3.81E-02	1.41E-02	4.08E-03	1.37E-03	7.55E-03	1.70E-02	6.36E-03
0.090	1.400	6.80E-02	4.05E-02	1.50E-02	4.08E-03	1.37E-03	5.81E-03	1.82E-02	6.81E-03
0.090	1.600	6.75E-02	4.22E-02	1.57E-02	4.08E-03	1.37E-03	4.53E-03	1.91E-02	7.15E-03
0.090	1.800	6.73E-02	4.36E-02	1.62E-02	4.08E-03	1.37E-03	3.53E-03	1.98E-02	7.43E-03
0.090	2.000	6.71E-02	4.46E-02	1.66E-02	4.08E-03	1.37E-03	2.80E-03	2.03E-02	7.63E-03
0.090	2.500	6.70E-02	4.64E-02	1.73E-02	4.08E-03	1.37E-03	1.55E-03	2.12E-02	7.99E-03
0.090	3.000	6.69E-02	4.73E-02	1.77E-02	4.08E-03	1.37E-03	9.10E-04	2.16E-02	8.17E-03
0.090	4.000	6.69E-02	4.82E-02	1.80E-02	4.08E-03	1.37E-03	3.43E-04	2.21E-02	8.34E-03
0.090	5.000	6.69E-02	4.84E-02	1.82E-02	4.08E-03	1.37E-03	1.68E-04	2.22E-02	8.39E-03
0.090	7.000	6.69E-02	4.86E-02	1.82E-02	4.08E-03	1.37E-03	6.25E-05	2.23E-02	8.42E-03
0.090	10.000	6.69E-02	4.86E-02	1.82E-02	4.08E-03	1.37E-03	2.71E-05	2.23E-02	8.44E-03
-------	-------	--------	--------	--------	--------	--------	--------	--------	--------

**************************
* Layers:	M8-M4-M1 *
**************************
Width	Spacing	Ctotal 		Cbottom		  Ctop 		Cb_area		Ct_area		 Ccoup 		  Csd  		  Csu  
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
-------	-------	--------	--------	--------	--------	--------	--------	--------	--------
0.090	0.090	2.06E-01	6.80E-03	4.95E-03	2.46E-03	1.76E-03	9.00E-02	2.17E-03	1.60E-03
0.090	0.110	1.80E-01	7.27E-03	5.30E-03	2.46E-03	1.76E-03	7.66E-02	2.41E-03	1.77E-03
0.090	0.130	1.61E-01	7.73E-03	5.63E-03	2.46E-03	1.76E-03	6.71E-02	2.64E-03	1.94E-03
0.090	0.150	1.47E-01	8.18E-03	5.96E-03	2.46E-03	1.76E-03	6.00E-02	2.86E-03	2.10E-03
0.090	0.170	1.36E-01	8.61E-03	6.29E-03	2.46E-03	1.76E-03	5.44E-02	3.08E-03	2.27E-03
0.090	0.190	1.27E-01	9.05E-03	6.62E-03	2.46E-03	1.76E-03	4.99E-02	3.30E-03	2.43E-03
0.090	0.210	1.20E-01	9.49E-03	6.94E-03	2.46E-03	1.76E-03	4.62E-02	3.52E-03	2.59E-03
0.090	0.250	1.09E-01	1.03E-02	7.56E-03	2.46E-03	1.76E-03	4.04E-02	3.94E-03	2.90E-03
0.090	0.300	9.94E-02	1.14E-02	8.33E-03	2.46E-03	1.76E-03	3.51E-02	4.46E-03	3.29E-03
0.090	0.400	8.71E-02	1.34E-02	9.84E-03	2.46E-03	1.76E-03	2.81E-02	5.48E-03	4.04E-03
0.090	0.500	7.96E-02	1.53E-02	1.13E-02	2.46E-03	1.76E-03	2.34E-02	6.44E-03	4.75E-03
0.090	0.600	7.48E-02	1.72E-02	1.26E-02	2.46E-03	1.76E-03	1.99E-02	7.35E-03	5.44E-03
0.090	0.800	6.89E-02	2.04E-02	1.51E-02	2.46E-03	1.76E-03	1.51E-02	8.99E-03	6.66E-03
0.090	1.000	6.58E-02	2.32E-02	1.71E-02	2.46E-03	1.76E-03	1.17E-02	1.04E-02	7.69E-03
0.090	1.200	6.40E-02	2.55E-02	1.89E-02	2.46E-03	1.76E-03	9.12E-03	1.15E-02	8.55E-03
0.090	1.400	6.29E-02	2.74E-02	2.03E-02	2.46E-03	1.76E-03	7.20E-03	1.25E-02	9.25E-03
0.090	1.600	6.23E-02	2.89E-02	2.14E-02	2.46E-03	1.76E-03	5.72E-03	1.32E-02	9.81E-03
0.090	1.800	6.19E-02	3.01E-02	2.23E-02	2.46E-03	1.76E-03	4.53E-03	1.38E-02	1.03E-02
0.090	2.000	6.16E-02	3.11E-02	2.31E-02	2.46E-03	1.76E-03	3.59E-03	1.43E-02	1.07E-02
0.090	2.500	6.14E-02	3.28E-02	2.44E-02	2.46E-03	1.76E-03	2.04E-03	1.52E-02	1.13E-02
0.090	3.000	6.13E-02	3.38E-02	2.51E-02	2.46E-03	1.76E-03	1.19E-03	1.57E-02	1.17E-02
0.090	4.000	6.12E-02	3.46E-02	2.57E-02	2.46E-03	1.76E-03	4.29E-04	1.61E-02	1.20E-02
0.090	5.000	6.12E-02	3.49E-02	2.59E-02	2.46E-03	1.76E-03	1.96E-04	1.62E-02	1.21E-02
0.090	7.000	6.12E-02	3.51E-02	2.61E-02	2.46E-03	1.76E-03	6.82E-05	1.63E-02	1.21E-02
0.090	10.000	6.13E-02	3.51E-02	2.61E-02	2.46E-03	1.76E-03	2.96E-05	1.63E-02	1.22E-02
-------	-------	--------	--------	--------	--------	--------	--------	--------	--------

**************************
* Layers:	M8-M5-M1 *
**************************
Width	Spacing	Ctotal 		Cbottom		  Ctop 		Cb_area		Ct_area		 Ccoup 		  Csd  		  Csu  
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
-------	-------	--------	--------	--------	--------	--------	--------	--------	--------
0.090	0.090	2.06E-01	4.98E-03	6.77E-03	1.76E-03	2.46E-03	9.00E-02	1.61E-03	2.16E-03
0.090	0.110	1.80E-01	5.32E-03	7.25E-03	1.76E-03	2.46E-03	7.67E-02	1.78E-03	2.40E-03
0.090	0.130	1.61E-01	5.66E-03	7.71E-03	1.76E-03	2.46E-03	6.72E-02	1.95E-03	2.63E-03
0.090	0.150	1.47E-01	5.98E-03	8.17E-03	1.76E-03	2.46E-03	6.01E-02	2.11E-03	2.86E-03
0.090	0.170	1.36E-01	6.29E-03	8.62E-03	1.76E-03	2.46E-03	5.45E-02	2.27E-03	3.08E-03
0.090	0.190	1.27E-01	6.61E-03	9.07E-03	1.76E-03	2.46E-03	5.00E-02	2.43E-03	3.31E-03
0.090	0.210	1.20E-01	6.93E-03	9.51E-03	1.76E-03	2.46E-03	4.63E-02	2.58E-03	3.53E-03
0.090	0.250	1.09E-01	7.54E-03	1.04E-02	1.76E-03	2.46E-03	4.04E-02	2.89E-03	3.96E-03
0.090	0.300	9.94E-02	8.31E-03	1.14E-02	1.76E-03	2.46E-03	3.51E-02	3.28E-03	4.50E-03
0.090	0.400	8.71E-02	9.78E-03	1.35E-02	1.76E-03	2.46E-03	2.81E-02	4.01E-03	5.53E-03
0.090	0.500	7.97E-02	1.12E-02	1.55E-02	1.76E-03	2.46E-03	2.34E-02	4.72E-03	6.51E-03
0.090	0.600	7.48E-02	1.25E-02	1.73E-02	1.76E-03	2.46E-03	1.99E-02	5.38E-03	7.44E-03
0.090	0.800	6.91E-02	1.50E-02	2.07E-02	1.76E-03	2.46E-03	1.51E-02	6.61E-03	9.12E-03
0.090	1.000	6.59E-02	1.70E-02	2.34E-02	1.76E-03	2.46E-03	1.17E-02	7.61E-03	1.05E-02
0.090	1.200	6.41E-02	1.87E-02	2.58E-02	1.76E-03	2.46E-03	9.11E-03	8.46E-03	1.17E-02
0.090	1.400	6.30E-02	2.01E-02	2.77E-02	1.76E-03	2.46E-03	7.18E-03	9.15E-03	1.26E-02
0.090	1.600	6.24E-02	2.12E-02	2.92E-02	1.76E-03	2.46E-03	5.70E-03	9.71E-03	1.34E-02
0.090	1.800	6.20E-02	2.21E-02	3.04E-02	1.76E-03	2.46E-03	4.52E-03	1.02E-02	1.40E-02
0.090	2.000	6.20E-02	2.29E-02	3.16E-02	1.76E-03	2.46E-03	3.59E-03	1.06E-02	1.46E-02
0.090	2.500	6.17E-02	2.42E-02	3.33E-02	1.76E-03	2.46E-03	2.03E-03	1.12E-02	1.54E-02
0.090	3.000	6.15E-02	2.49E-02	3.42E-02	1.76E-03	2.46E-03	1.19E-03	1.16E-02	1.59E-02
0.090	4.000	6.16E-02	2.56E-02	3.51E-02	1.76E-03	2.46E-03	4.26E-04	1.19E-02	1.63E-02
0.090	5.000	6.16E-02	2.58E-02	3.54E-02	1.76E-03	2.46E-03	2.02E-04	1.20E-02	1.65E-02
0.090	7.000	6.16E-02	2.59E-02	3.56E-02	1.76E-03	2.46E-03	8.19E-05	1.21E-02	1.65E-02
0.090	10.000	6.16E-02	2.59E-02	3.56E-02	1.76E-03	2.46E-03	3.84E-05	1.21E-02	1.66E-02
-------	-------	--------	--------	--------	--------	--------	--------	--------	--------

**************************
* Layers:	M8-M6-M1 *
**************************
Width	Spacing	Ctotal 		Cbottom		  Ctop 		Cb_area		Ct_area		 Ccoup 		  Csd  		  Csu  
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
-------	-------	--------	--------	--------	--------	--------	--------	--------	--------
0.090	0.090	2.07E-01	3.74E-03	1.03E-02	1.37E-03	4.08E-03	8.97E-02	1.18E-03	3.12E-03
0.090	0.110	1.80E-01	4.01E-03	1.11E-02	1.37E-03	4.08E-03	7.62E-02	1.32E-03	3.52E-03
0.090	0.130	1.61E-01	4.28E-03	1.19E-02	1.37E-03	4.08E-03	6.67E-02	1.46E-03	3.92E-03
0.090	0.150	1.47E-01	4.54E-03	1.27E-02	1.37E-03	4.08E-03	5.95E-02	1.58E-03	4.30E-03
0.090	0.170	1.37E-01	4.80E-03	1.34E-02	1.37E-03	4.08E-03	5.38E-02	1.71E-03	4.67E-03
0.090	0.190	1.28E-01	5.06E-03	1.42E-02	1.37E-03	4.08E-03	4.93E-02	1.84E-03	5.05E-03
0.090	0.210	1.21E-01	5.32E-03	1.49E-02	1.37E-03	4.08E-03	4.55E-02	1.97E-03	5.42E-03
0.090	0.250	1.10E-01	5.82E-03	1.64E-02	1.37E-03	4.08E-03	3.95E-02	2.22E-03	6.15E-03
0.090	0.300	1.01E-01	6.44E-03	1.81E-02	1.37E-03	4.08E-03	3.41E-02	2.53E-03	7.04E-03
0.090	0.400	8.90E-02	7.62E-03	2.15E-02	1.37E-03	4.08E-03	2.67E-02	3.12E-03	8.70E-03
0.090	0.500	8.21E-02	8.71E-03	2.46E-02	1.37E-03	4.08E-03	2.18E-02	3.67E-03	1.02E-02
0.090	0.600	7.77E-02	9.72E-03	2.73E-02	1.37E-03	4.08E-03	1.82E-02	4.17E-03	1.16E-02
0.090	0.800	7.28E-02	1.15E-02	3.20E-02	1.37E-03	4.08E-03	1.32E-02	5.04E-03	1.40E-02
0.090	1.000	7.04E-02	1.29E-02	3.58E-02	1.37E-03	4.08E-03	9.86E-03	5.75E-03	1.59E-02
0.090	1.200	6.91E-02	1.40E-02	3.87E-02	1.37E-03	4.08E-03	7.50E-03	6.30E-03	1.73E-02
0.090	1.400	6.83E-02	1.49E-02	4.11E-02	1.37E-03	4.08E-03	5.76E-03	6.74E-03	1.85E-02
0.090	1.600	6.79E-02	1.55E-02	4.28E-02	1.37E-03	4.08E-03	4.48E-03	7.08E-03	1.94E-02
0.090	1.800	6.77E-02	1.61E-02	4.42E-02	1.37E-03	4.08E-03	3.50E-03	7.34E-03	2.01E-02
0.090	2.000	6.76E-02	1.64E-02	4.53E-02	1.37E-03	4.08E-03	2.77E-03	7.54E-03	2.06E-02
0.090	2.500	6.74E-02	1.71E-02	4.71E-02	1.37E-03	4.08E-03	1.54E-03	7.88E-03	2.15E-02
0.090	3.000	6.74E-02	1.75E-02	4.80E-02	1.37E-03	4.08E-03	9.04E-04	8.06E-03	2.20E-02
0.090	4.000	6.73E-02	1.78E-02	4.88E-02	1.37E-03	4.08E-03	3.41E-04	8.23E-03	2.24E-02
0.090	5.000	6.73E-02	1.79E-02	4.91E-02	1.37E-03	4.08E-03	1.68E-04	8.28E-03	2.25E-02
0.090	7.000	6.73E-02	1.80E-02	4.92E-02	1.37E-03	4.08E-03	6.20E-05	8.31E-03	2.26E-02
0.090	10.000	6.74E-02	1.80E-02	4.93E-02	1.37E-03	4.08E-03	2.70E-05	8.32E-03	2.26E-02
-------	-------	--------	--------	--------	--------	--------	--------	--------	--------

**************************
* Layers:	M8-M7-M1 *
**************************
Width	Spacing	Ctotal 		Cbottom		  Ctop 		Cb_area		Ct_area		 Ccoup 		  Csd  		  Csu  
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
-------	-------	--------	--------	--------	--------	--------	--------	--------	--------
0.090	0.090	2.11E-01	2.80E-03	2.71E-02	1.13E-03	1.26E-02	8.62E-02	8.38E-04	7.29E-03
0.090	0.110	1.86E-01	3.04E-03	2.96E-02	1.13E-03	1.26E-02	7.24E-02	9.57E-04	8.50E-03
0.090	0.130	1.68E-01	3.28E-03	3.19E-02	1.13E-03	1.26E-02	6.24E-02	1.08E-03	9.68E-03
0.090	0.150	1.55E-01	3.51E-03	3.42E-02	1.13E-03	1.26E-02	5.49E-02	1.19E-03	1.08E-02
0.090	0.170	1.45E-01	3.73E-03	3.63E-02	1.13E-03	1.26E-02	4.89E-02	1.30E-03	1.19E-02
0.090	0.190	1.37E-01	3.95E-03	3.84E-02	1.13E-03	1.26E-02	4.40E-02	1.41E-03	1.29E-02
0.090	0.210	1.31E-01	4.17E-03	4.03E-02	1.13E-03	1.26E-02	4.00E-02	1.52E-03	1.39E-02
0.090	0.250	1.22E-01	4.59E-03	4.40E-02	1.13E-03	1.26E-02	3.36E-02	1.73E-03	1.57E-02
0.090	0.300	1.14E-01	5.08E-03	4.82E-02	1.13E-03	1.26E-02	2.78E-02	1.98E-03	1.78E-02
0.090	0.400	1.06E-01	5.95E-03	5.53E-02	1.13E-03	1.26E-02	2.01E-02	2.41E-03	2.14E-02
